	eng	kor
48	Fanci what flash uh	 Fanci what flash uh
1	What’re you thinking so hard about?	 뭘 그리 고민해
2	What’s the problem babe	 도대체 뭐가 문제야 Babe
3	(I know what you want)	 (I know what you want)
4	You can act like that	 시치미 떼봤자 넌
5	But it’s obvious babe	 Oh 다 티가 나 Babe
6	(Hurry up come over here)	 (Hurry up come over here)
7	Whether anyone sees or not	누가 보거나 말거나
8	Whether they say anything or not	 뭐라 하거나 말거나
9	I don’t care, It’s okay	 I don’t care, it’s okay
10	Whatever I want, I do do do it	 그저 걸리는 대로 I do do do it
12	I can see right through you	 뻔히 다 보여 넌
13	Oh eh oh eh oh eh	 Oh eh oh eh oh eh
14	You can try to hide it but you’re in the palm of my hands	 숨기려 해 봤자 넌 어차피 다 손바닥 안이야
15	Tell me what you want (Say what?)	 Tell me what you want (Say what?)
16	Hey (Hey) hurry here, do it like this	Hey (Hey) 어서 이리 와 Do it like this
17	Don’t avoid me anymore, just do it like this	 더는 빼지 말고 Just do it like this
18	Stop burning me up	 자꾸 날 애타게 하지 말고
19	Hey (Hey) Hey (Hey)	 Hey (Hey) Hey (Hey)
20	Hey (Hey) today, with me, do it like this	Hey (Hey) 오늘은 나와 Do it like this
21	However your body moves, just do it like this	 몸이 가는 대로 Just do it like this
22	Babe tell me what you want it	 Babe tell me what you want it
24	Babe hurry up, a little more, turn it up	Babe hurry up 조금만 더 Turn it up
25	(I just wanna be with you tonight)	 (I just wanna be with you tonight)
26	Just suck it up babe tell me what you want	 Just suck it up babe tell me what you want
27	(Yeah I’m ready for you tonight)	 (Yeah I’m ready for you tonight)
28	I can see clearly but why are you so slow?	뻔히 다 보여 왜 자꾸 멀뚱멀뚱해
29	We just met eyes but why are you still unsure?	 마주친 눈빛에도 넌 왜 긴가민가해
30	Hey time is ticking, tic toc (Tic toc)	 Hey 아까운 시간 흐르잖아 Tic toc (Tic toc)
31	I’m waiting, hurry, cheer up	 기다리고 있잖아 어서 Cheer up
32	I won’t act coy in front of you tonight	오늘 밤 니 앞에 나 절대 내숭 안 떨래요
33	You already know, I’m the female version of Napoleon	 이미 알고 있잖아 나 여자 판 나폴레옹
34	You and I are like Matilda and Leon	 너와 나는 마치 Matilda and Leon
35	You’re exactly my type, ping	 완전 내 취향 저격이야 Ping
43	Hey (Hey) Hey (Hey)	 Hey (Hey) Hey let’s dance
45	Do it do it do it like this	 Do it do it do it like this
46	(Hey Hey)	 (Hey Hey)
47	Just do it like this	 Just do it like this
49	J I M I N	 J I M I N
50	Who’s to blame for my innate fatal charm uh	 타고난 치명적임 누구를 탓해 Uh
57	You know my name? (God Jimin Diva)	 You know my name? (God Jimin Diva)
0	How can I say this	니가 상처받지 않게
1	Without hurting you	어떻게 말을 꺼낼까
2	I wanted to let you go	예쁜 말 적당한 핑계로
3	With right and pretty excuse and leave you	널 보내고 난 떠나려 했어
4	Until you hold onto me	일어선 나를 붙잡고 엉엉 울며
5	Standing and crying	매달리기 전 까지 말야 
6	I am in love with someone else	다른 사람을 사랑하고 있어
7	I didn’t want to tell you all	다 말하고 싶지 않았어
8	You are a good person	넌 좋은 사람이니까
9	Do not hold on to crumbling down sandcastle	허물어지는 모래성을 붙잡고
10	Do not try any more	더 애를 쓰려 하지 마
11	I am in love	너 아닌 다른 사람을
12	With someone else	사랑하고 있어
13	You did not want anything	바란 것도 하나 없이
14	You always gave everything to me	넌 항상 모든 걸 줬어
15	You are happy to see me happy	행복한 내가 너의 행복이라며
16	You always looked upon me	넌 언제나 나만 바라봤어
17	But your love becomes tiring more and more	그런데 너의 사랑이 점점 지쳐
18	I will not make excuse, I will tell you all	변명 하지 않고 다 말할게
24	Someone else	너 아닌 다른 사람을 
25	I sometimes worry	걱정하다가도
26	But I forget all about you	까맣게 널 잊을 만큼
27	I am truly in love	진심으로 사랑하고 있어
28	At the end of beautiful love	아름다웠던 사랑의 끝에서
30	Because you will be hurt	니가 아플까 봐
33	I am in love with	너 아닌 다른 사람을
34	Someone else	사랑하고 있어
1	I want to share them with you	 너와 다 나누고 싶지
2	Love is a heavy contract	 사랑은 이처럼 무거운 계약
3	You’ll need to pay a penalty	 내야 될 거야 penalty
5	I’ll have to fill your book up forever	 평생을 담을 너란 책을
6	So when you think about love	 So when you think about love
7	I’ll draw in you with my color	 다 그려줄게 나란 색을
8	Every moment I have time, my head is busy	시간이 남을 때마저 내 머릿속은 바뻐
9	I don’t want to stop thinking about you	 네 생각을 놓기엔 내가 싫고
10	But then I can’t do any of my work	 그러기엔 일이 안 잡혀
11	Your eyes took me out of the shadows	 그림자 뒤 가려진 날 꺼낸 시선
12	Wherever I look, you’re everywhere	 어디를 봐도 넌 모든 부분에 있어
13	I’m gonna mention you on this stage that won’t ever come again	 다시없을 무대에 너를 언급해
14	If you understand how I feel, I’ll compliment you	 내 말을 이해했다면 칭찬해줄게
16	Take my breath away	 Take my breath away
17	Even my last breath	 마지막 숨까지도
19	Take it all yeah	 다 가져가 yeah
20	Even your tears	너의 눈물까지
21	Linger around me	 당연한 듯 자꾸 맴돌아
22	Stay by my side, baby stand by me	 곁에 있어 줘 baby stand by me
24	Stand by me	 Stand by me
26	L O ve ya (yes)	[태운/한겸] L O ve ya (yes)
30	Your existence is my benefit	너 자체가 나의 benefit
31	Feels like everything has stopped	모든 게 그대로 멈춘듯해
32	Time keeps passing	 시간은 계속 흘러가는데
33	Even during hardships	힘든 시간까지도
34	I wanna be with you	 난 너와 함께라고
35	I’m gonna be with you forever	 영원히 깨어있을 거야
37	One person protecting another	사람이 사람을 지켜 낸다는 게
38	Is such a heavy concept	 알다 보면 참 무거운 단어 같아
39	I figured out the weight of those words	 난 그 말에 무게를 체감했고
40	I’m trying to take responsibility	 또 책임지려하는 상태
41	I’m thankful	 감사해 작은 관심
42	I don’t deserve the slightest interest	 조차 아까운 놈한테 이런 값진
43	But you gave me such a precious thing	 것들을 넌 줬으니까
44	Even after this performance is over	 이 무대 8마디가 다 끝이 나도
45	I won’t give up, cause that’s just me	 포긴 없지 그게 나니까
54	For me, it’s only you	난 only you
58	(This love this love Love)	(This love this love love)
68	Take it all yeah	[인성/동훈] 다 가져가 yeah
1	No one stop me	아무도 나를 말리지 마
2	Till the night	오늘 이 밤이
3	Explodes, I run	터질 때까지 달리지 난
5	Come on everybody	 Come on everybody
6	Everybody	 모두
7	All together, super freak	다 같이 super freak
10	Freak, all together, super freak	Freak 다 같이 super freak
12	What’s the use of dragging it out	시간만 끌면 뭐 해
13	I wanna have fun and go wild	 신나게 망가질래
14	I tryina get wet wet	 I tryina get wet wet
15	Till my body is all burned up	 온몸이 하얗게 탈 때까지
16	Perfect and beautiful dime pieces	 내 앞에 많은 완벽한 beautiful dime pieces
17	Grab anyone and play	 아무나 잡고 놀아봐요
18	Eenie meenie miney woah	 Eenie meenie miney woah
20	Bottoms up till I drop	 Bottoms up till I drop
21	Enjoy the day, don’t be shy	 오늘을 즐겨 눈치 보지 말고
22	There’s no tomorrow	 내일 따윈 없으니까
23	Everyone, quietly, back it up, back it up	다 조용히 back it up back it up
24	All you haters killin my vibe	 All you haters killin my vibe
25	Boring, spacing out Spiderman	 재미없게 멍 때리며 서 있는 Spiderman
26	Go back and just climb walls	 뒤로 가 벽이나 타
33	I want everyone to go crazy	 모두 다 미치길 바래
35	Don’t kill this vibe	이 분위기를 죽이지 마
36	Till the night is over, I’ll keep going	오늘 이 밤이
37	Right now I said right now	다 갈 때까지 가버려 난
38	Come on everybody	Right now I said right now
39	Everybody	 Come on everybody 모두
45	Ding dong, don’t stop till the bell rings	Ding dong 칠 때까지 멈추지 마라
46	Ding dang dong, you’re it today	 Ding dang dong 오늘 술래는 너야
47	Get your freakin on	 Get your freakin on
48	Show me crazy guy	 보여줘 미친놈
49	All together, ding dang dong, then stop	 다 같이 ding dang dong 치면 stop
50	(I need a super freak)	 (I need a super freak)
51	Tonight, I’ma play, play like crazy	오늘 밤엔 Ima play 미치게 놀래
52	Mindlessly, let’s get cray (yah yah yah)	 정신 놓고 let’s get cray (yah yah yah)
53	Nod your head till you start to spin	고게 끄떡 머리 핑 빙글 돌 때까지
54	Clap your hands and everybody say (yah yah yah)	 손뼉 치며 같이 say (yah yah yah)
56	Everyone bump bodies together	다 같이 몸을 부딪치며
57	With the rhythm (with the rhythm)	 이 리듬에 맞춰 (리듬에 맞춰)
58	Just have fun	그냥 즐기자고
59	No we don’t want no drama	 No we don’t want no drama
60	Don’t think just let’s get loco	 아무 생각하지 말고 let’s get loco
61	Let’s go all the way, let’s go	 갈 때까지 한번 가보자 let’s go
77	Get your freakin on	[민균/유토] Get your freakin on
78	Show me crazy guy	[민균/유토] 보여줘 미친놈
79	All together, ding dang dong, then stop	[민균/유토] 다 같이 ding dang dong 치면 stop
82	Show me, crazy guy	 보여줘 미친놈
83	Let’s all get crazy, like crazy people	 Let’s all get crazy 정신 나간 사람들처럼
84	Get your freakin on	[용근/민석] Get your freakin on
85	Show me, crazy guy	[용근/민석] 보여줘 미친놈
86	We gonna party till we drop	[용근/민석] We gonna party till we drop
0	Hand in hand, over the walls	손에 손잡고 벽을 넘어서
1	Let’s love one another	 서로 사랑하는 한 맘이 되자
5	Dressed up today	 폼나게 차려입은 오늘
6	Thinking you’ll win over everyone	 죄다 꺾어보겠다며
7	How cute	 귀엽게 마음먹은 놈들
8	Call them all here	 까지 불러모아
9	Dance dance dance	 Dance dance dance
10	Give competition to the dogs tonight	 경쟁은 개나 줘 오늘 밤
11	Pass pass pass	 Pass pass pass
12	Alright	 Alright
14	Wanna getting high	 Wanna getting high
15	Passing people drop their jaws	 지나가는 사람들 벙 쪄
16	Look at this vibe, ain’t nobody	 분위기를 봐 ain’t nobody
17	No one can spit at me (ya ya)	 날 보며 침을 칵 투 (ya ya)
18	Roll out the red carpet red (ya)	 깔아 카펫 red (ya)
19	Hold my hand and ride (ho)	 내 손을 잡고 ride (ho)
20	Everyday every way	 Everyday every way
21	Wanna fly (what)	 Wanna fly (what)
22	We just met today	우린 오늘 처음 봤지만
23	But you know me	 넌 날 알잖아
24	As if we’ve always known each other	 원래부터 알던 사이처럼
26	With me let’s dance dance dance	 나와 let’s dance dance dance
28	They say you’re connected even if you brush past each other	 옷깃만 스쳐도 인연이라는데
29	We’re already holding hands	 우린 이미 손을 잡고 있네
33	Will you move your body now?	이제 움직여줄래 네 몸
34	Throw your hands high in the sky (let’s get it)	 저 하늘 위로 높이 들어 네 손 (let’s get it)
35	Go hand in hand hand in hand	[성호/세윤] Go hand in hand hand in hand
36	Hand in hand	[성호/세윤] Hand in hand
39	H-h-hand in hand in	[성호/세윤] H-h-hand in hand in
40	Baby, what’re you doing there (get it)	Baby 너는 거기서 뭐 해 (get it)
41	Get it get it cause I want it	 Get it get it cause I want it
42	Slowly, we be sippin yeah	 조금씩 우리 we be sippin’ yeah
43	Burn up the night, burning yah	 오늘 밤을 태워 burning yah
44	Burn up the night, burning yeah	 오늘 밤을 태워 burning yeah
45	We’re so bored right now	 지금 우린 너무 따분해
46	Let’s go to the end, we gon get it	 갈 때까지 we gon 기릿
47	Make a choice, it’s so hot here, pancake (durr)	 택해 너무 hot 뜨거운 여긴 pancake (durrr)
49	Feeling new, shouting out a a a	 신선함과 동시에 외쳐대 a a a
50	Fixin flexin, I’m creating a new kind of fun	 Fixin flexin 또 다른 즐김을 나는 창조해내
51	Hey lady, if you hold my hand	 Hey lady 내 손을 잡는다면
52	You won’t regret this night	 후회 없이 이 밤을 보내
53	Now let out all the stress	 네가 여태 받았던
54	You’ve had so far	 스트레스를 이제 모두 다 토해내
55	We just met today	우린 오늘 처음 봤지만 (처음 봤지만)
56	But you know me	넌 날 알잖아 (you know me)
57	As if we’ve always known each other	원래부터 알던 사이처럼
60	(break it down)	(Break it down down down)
61	They say you’re connected even if you brush past each other	옷깃만 스쳐도 인연이라는데
64	(Just take my hand, hold it, hold it, hold it)	(Just take my hand 잡아 잡아 잡아)
65	Let’s love one another	서로 사랑하는 한 맘이 되자
69	Go hand in hand hand in hand	[진영/병곤] Go hand in hand hand in hand
70	Hand in hand (yeah)	[진영/병곤] Hand in hand (yeah)
72	Hand in hand	[진영/병곤] Hand in hand
73	H-h-hand in hand in	[진영/병곤] H-h-hand in hand in
75	Say hello hello hello (hello)	Say hello hello hello (안녕하세요)
78	I do what I want	난 막무가내
79	Style yeah I do what I like to	 Style yeah I do what I like to
80	If it gets boring, I hit the slate	 지루해진다 싶어지면 쳐버리지 slate
81	But tonight with you	 But tonight 너와 함께
82	I’ll take a bumpy flight	 I’ll take a bumpy flight
83	Don’t try to find BC he’s workin now	 Don’t try to find BC he’s workin now
84	Bye bye (ha)	 Bye bye (ha)
0	Feeling afraid, feeling anxious	두려운 마음 떨리는 마음
1	I want to stop now	 그만 좀 하고 싶어
2	But I’m even more nervous today	 어쩐지 오늘 더 긴장이 되고
3	I don’t know what to do	 어떻게 할지 몰라
4	So I looked at the sky	그래서 하늘을 봤어
5	The birds were flying	 새들도 날아
6	Am I the only one who can’t fly?	 나만 날지 못하는 걸까
7	But today, for some reason	 그런데 어쩐지 오늘
8	The sky looks sad, just like me	 하늘도 슬퍼 보였어 나처럼
9	Nothing goes right, only unhappiness grows	되는 일 없고 불만만 많고
11	No, I want to do better	 아니야 사실 더 잘하고 싶어
12	That’s why I was upset	 그래서 속상했어
13	I saw myself in the mirror	그래서 거울에 비친
14	I was still the same	 내 모습 봤어
15	But today, for some reason	 나만 아직 그대로였어
16	I want to tell myself,	 그런데 어쩐지 오늘
17	you did a good job	 잘했다 말해주고 싶어 나에게
19	Na na na na na	 Na na na na na
20	Na na na na na na na na na	 Na na na na na na na na na
21	Na na na na na na na	 Na na na na na na na
23	I want to tell myself, you did a good job	 잘했다 말하고 싶어
3	Counting the small stars	작은 별을 세어가
4	Covering the blue night	 푸른 밤은 덥석
5	As it wraps around you without knowing	 너도 모르게 널 에워싸
6	I’ll stop walking when my shoelaces	신발 끈이 헤질
7	Start to wear out	때쯤에 난 걸음을 멈춰
8	I’m going to your island	 너란 섬에 와
10	Baby you got me up all night	 Baby you got me up all night
11	I used to like being alone	난 혼자인 게 편했는데
12	But after I met you	 너를 만난 후에 변한 게
13	There are so many things about me that changed	 수도 없이 많지
14	My GPS used to be broken	 고장 났던 네비
15	I was lost in life	 길을 잃은 삶에서 날 나가지
16	But now you broke down all the obstacles that blocked me	못하게 하던 장애물을 깼지
17	I’m gonna keep walking	난 걸어가려 해
18	So I can be with you	 너와 함께 갈 수 있는 시간 속으로
19	When I arrive, if you believe in me	 도착할 때쯤에 내가 믿어진다면
20	I’m sure you’ll hold your hand out to me	 그때는 멋쩍게 손을 내밀 수 있겠지
22	Let’s go to our own place	너와 나만의 곳에 가자
23	Baby it’s time to grind my mind	 Baby it’s time to grind my mind
25	Let’s go start a new story	새로운 얘길 시작하러 가자
26	Before the sun rises, girl	 해가 뜨기 전에 Girl
27	You can just rest now	이젠 그냥 쉬어도 돼
28	Lay down all the growing	 불어나는 걱정
29	Worries and anxieties	불안 따윈 전부 내려놔
30	When you get thirsty and things are hard	목마름이 더 해져 힘들 땐
31	Stop walking and come next to me	 걸음을 멈춰 내 옆으로 와
34	Always laughing	나는 항상 웃고 있고
35	Flowers always blooming	 나는 항상 꽃을 피고
36	Always acting like a puppy	 나는 항상 강아지가 돼
37	If I really wanted those things	 정말 이걸 바랬다면
38	I would’ve gone a different path	 난 다른 길을 가겠지
39	So I hope you understand	 그래 잘 알아듣길 바라
40	I won’t embarrass you	 니가 부끄럽지 않게
41	We’re in love	우린 사랑하잖아
42	Things will get better	 아름다워질 거야
43	We just need to try, bae	 맞추면 돼 조금만 노력해줘 Bae
44	I keep thinking that time is gold	 시간이 금이라는 말이 계속 생각하게 돼 많이
45	We’ll be shining brightly	 우릴 밝게 비추게 해
48	Baby it’s time to grind my mind	 Baby it’s time to grind my mind</span
52	Just stay right there	넌 그대로 있어줘
53	Just as you are	지금 모습 그대로
54	Even if everything changes, girl	모든 게 변해 가도 Girl
55	I won’t let go of you	 난 너를 놓치지 않아
56	I hope things won’t change	변함없길 바래
57	Between us	 너와 나의 시간엔
58	There’s no such thing as a last goodbye	 마지막 인사는 없을 거야
59	Just stay by my side	넌 내 옆에만 있어
61	Trust me	 난 믿어 널
62	Right now, in front of me	 지금 내 눈앞의 곳에
63	Nice place to play my love	 Nice place to play my love
0	My body and head are spinning	내 몸이 확 머리가 휙
1	How are you feeling now?	돌아가 어때 지금 기분이
2	We are like a magnet	우리는 마치 자석같아
3	We hug and push aside	서로를 안고 밀쳐내니까
4	You make me crazy	너는 날 미치게 하고
5	And out of my senses	정신 못 차리게 해
6	Yes, you may know that	그래 알겠지 넌 참
7	You make me out of my mind	날 기가 막히게 해
8	You make me dance	너는 날 춤추게 하고
9	And drunk without alchole	술 없이 취하게 해
11	You make me a naughty girl	착한 날 독하게 해 
12	In a movie only for us	우리 둘만의 이 영화에
13	The real hero was you, baby	진짜 주인공은 너였어 Baby
14	As always the way you do	그래 넌 오늘도 너답게
15	Like a splendid hero	화려한 주인공처럼
16	Do whatever you want	그저 하던 대로 해
17	Even if you’re mean	그게 악역이라도
18	And you make me sad	나를 슬프게 해도
19	You need to be yourself	넌 너여야만 해
20	Even if i’m not feeling well	내가 아플지라도
21	And it’s sad ending	슬픈 엔딩이라도 
24	You always fight to the bitter end	너는 늘 끝장을 보고
25	And try to cover everything	모든 걸 덮으려 해
26	Why did you gave me wings and	왜 날개를 달아주고
27	Want me to fall	추락하자 해
28	You say to me “good girl”	너는 늘 착하지라며
29	And make me take my tears back	날 눈물 삼키게 하잖아
30	Yes, you may know that	그래 알겠지 알겠지
31	You snow me	넌 날 혹하게 해
32	In a drama only for us	우리 둘만의 이 Drama에
40	Even if it hurts me	내가 아플지라도
41	And it is sad ending	슬픈 엔딩이라도 
0	Why are my nerves	왜 종일 신경이
1	Directed to you all day?	 네게 꽂혀있는지
2	I feel strange these days	 나 요즘 이상해
3	As if something’s come over me	 뭐에 홀린 것 같이
4	You only just passed by	 스쳐지나갔을 뿐인데
5	I don’t even know your name	 이름도 모르는 너
6	Doesn’t make sense	 말도 안돼 어떻게
7	How did you enter my heart?	 내 맘에 들어왔니
8	I can’t grasp anything	손에 잡히는 게
9	I keep thinking about you	 하나도 없잖아
10	Thoughts of you	 자꾸 니 생각이나
11	Make me dizzy I ya ya	 니 생각에 난 어지러워 I ya ya
12	Because I miss you	 니가 보고 싶어서
13	I can’t do anything	 아무것도 못 하겠어
14	But this feeling isn’t too bad	 이런 느낌 나쁘지 않은 걸
16	But I, ya, ya, like it	 But I, ya, ya, like it
17	My heart, heart, heart	 내 맘을 맘을 맘을
18	You, you, you twisted	 You, you, you twisted
19	I’m getting dizzy again	 또 어질어질 하게
20	You’re mixing up my head	 머릿속을 휘젓네
21	Baby you woo woo woo woo	 Baby you woo woo woo woo
22	Only Trouble woo woo woo	 Only Trouble woo woo woo
23	yeah eh	 yeah eh
25	Trouble Trouble Trouble	 Trouble Trouble Trouble
26	Why am I being like this?	내가 왜 이러니
27	Am I really lonely?	 많이 외로운 건지
28	Did I fall	 순간에 감정에
29	For my emotions?	 속아 넘어갔는지
30	I try to pretend I’m not	 애써 아닌 척 해보지만
31	But I can’t hide it	 숨길 수 없는 걸
32	I don’t wanna be the only one	 나 혼자만 이렇게
33	To fall like this	 빠지기는 싫은데
40	But this feeling isn’t too bad	 이런 느낌 나쁘지 않은걸
62	Trouble Trouble	Trouble Trouble 
0	On top of our pieces that were like spring days	봄 낮 같았던 우리의 조각들 위로
1	When the first snow of the winter falls	새하얀 겨울의 첫눈이 내리면
2	Without knowing, I look for your temperature of that day	나도 모르게 그날의 너의 온도를
3	I’m taking it out	찾고 있어 꺼내보고 있어
4	Do you feel the same way as me?	혹시 나와 같을까
5	Am I the only one?	나만 이러는 걸까
6	If you felt a little bit like me	조금이라도 내 맘 같아 준다면
7	This season would feel warm	이 계절도 따뜻할 텐데
8	When the cold wind passes through my heart	차가운 바람이 내 맘에 스치면
9	I remember the dreams I had with you	그대와 그렸던 꿈이 떠올라요
10	And I feel like I could send this winter	찾아온 겨울도 그대의 기억으로
11	Warmly into your memories	따스히 보낼 것 같아요
12	The wind was so cold this morning	오늘 아침엔 바람이 꽤 시려웠죠
13	Are you sick anywhere? I’m worrying for no reason	아픈 덴 없나요 괜한 걱정이죠
14	You used to hold out your warm hand even if I didn’t say anything	말하지 않아도 따뜻한 손을 내밀던
15	But I lost you	그댄데 난 놓쳐버렸죠
16	You were always by my side	항상 곁에 있어줘서
17	So I didn’t know what kind of love I received	어떤 사랑 받은지 모르고
18	Whenever my young love complained	어린 사랑이 자꾸 투정 부리면
19	You became more of an adult	그대는 더 어른이 되어갔죠
24	My cold heart won’t beat anymore	차가운 내 맘은 이제는 뛰지 않겠지만
25	But you’ll always be in my heart	여전히 내 맘엔 그대가 머무를 테니
26	So I’ll be able to be warm	또 따스히 보내겠죠
27	I expect so	그럴 것 같아
1	Doo doo doop	 Doo doo doop
2	You, even if some other girl talks to you	You 어떤 여자 니가 말을 걸어도
3	I don’t really mind (Ah)	 I don’t really mind (Ah)
4	You’re smiling with your eyes and flirting	 눈웃음 찡긋 끼 부리는 너 어쩜 그렇게 (Ha)
5	It’s serious, all these girls you’re hiding	 심각해 몰래몰래 숨겨둔 다른 여자들
6	Soon, everyone will find out your dangerous habits	 곧 모두 알게 될 거야 위험한 니 버릇을
7	He’s got show, looks so familiar	He’s got show 익숙해 보여
8	So danger, your gestures	 So danger 니 손짓
9	Make me sad, on your shirt	 Make me sad 셔츠 위에서
10	That scent smells so unfamiliar	 나는 그 향기 아 너무도 낯선데
12	Take a swing with me	 Take a swing with me
13	Be alert today (Oh yeah)	 긴장해 오늘 너 (Oh yeah)
14	Be careful, watch your back	 조심해 Watch your back
16	Can’t believe it (So bad)	 말도 안돼 (So bad)
17	You don’t care about me, not a single bit of your heart	 나랑은 상관없어 맘도 1도 없어
18	I got a bad boy, bad boy, bad boy	 I got a bad boy, bad boy, bad boy
19	Can’t believe it (Oh he’s so so bad)	 말도 안돼 (Oh he’s so so bad)
21	Now I finally feel free oh	 이제 자유로운 기분 Oh
22	Get away boy from me	 Get away boy 내 곁에서
23	No need to hold onto you anymore	이젠 널 붙잡을 필요 없어
24	I don’t need you now	 I don’t need you now
25	Did you think I’d fall for that sad face?	 Oh 그런 슬픈 표정 지으면 속을 줄 알았니 (Ha)
26	I’m serious, you keep yapping away with your excuses	 심각해 쫑알쫑알 너무 그럴듯한 변명들
27	I’m so sick of it now	 이제는 정말 지겨워
28	From your head to toes, stupid at all	 넌 머리부터 발끝까지 Stupid at all
45	Those sweet words in my ears (Woo woo woo)	귓가에 달콤한 말들 (Woo woo woo)
46	Oh oh, I remember	 Oh oh 생각나
47	But it was all a lie (Woo hoo)	 이 모든 게 다 거짓말 (Woo hoo)
48	I’m losing my heart	 I’m losing my heart
50	Bad, bad boy reputation	 Bad, bad boy reputation
51	Bad, bad boy reputation (Bad boy)	 Bad, bad boy reputation (Bad boy)
54	(He’s bad boy)	 (He’s bad boy)
64	(Away away boy from me)	 (Away away boy 내 곁에서)
65	Get away boy from me	Get away boy 내 곁에서
66	Ah ah ah yeah	 Ah ah ah yeah
1	Let my body work, let my body work all night	 Let my body work, let my body work all night
2	Imma make it worth all your time all your time ay	 Imma make it worth all your time all your time ay
3	I know you, your typical moves	I know you 뻔한듯한 너의 그 Move
4	You waited so long, Let me show ya	 애타게 기다렸던 Let me show ya
5	Tonight, everyone, do it just like that, just like that	 오늘 밤 모두 Do it just like that, just like that
6	Don’t take your eyes off, I’ll show you what you like	눈을 떼지마 I’ll show you what you like
7	The moment you wanted is this moment right now	 원해왔던 시간 지금 이 순간
8	Scream, it’s the last moment	 소리 질러봐 Oh 마지막 순간
9	Don’t keep me waiting	 Don’t keep me waiting
11	Move like you moving (Moving) Never stop	 Move like you moving (Moving) Never stop
12	Heating up tonight, oh, it’s covering me	 오늘 밤 열기 Oh 나를 덮네
13	So do what you doing	 So do what you doing
18	So do what you doing	 So do what you doing (Ay)
20	I’ll be ah waiting for ya So get it right now	I’ll be ah waiting for ya, so get it right now
21	What’re you waiting for? I give you one shot	 뭘 그리 망설여 너 I give you one shot
22	Don’t worry, today baby We can have a real good time Ay!	 걱정 마 오늘 Baby we can have a real good time ay
23	Don’t take your eyes off, I’ll show you what you like	 눈을 떼지마 I’ll show you what you like
36	I’m a bit different, I’ll make you stay	난 뭔가 남달라 I’ll make you stay
37	Electric feeling, I do it my way	 짜릿한 느낌 I do it my way
38	I’m a bit different, I’ll make you stay	 난 뭔가 남달라 I’ll make you stay
41	Give me give all (All) You got	 Give me give all (All) You got
42	Do it do it now (Oh) Like that like that (Yeah)	 Do it do it now (Oh) Like that like that (Yeah)
43	Don’t care about what others think of you	신경 쓰지 마 What others think of you
46	Don’t hesitate yeah	 Don’t hesitate yeah
48	Move like you moving (Hmm moving) Never stop	 Move like you moving (Hmm moving) Never stop
50	So do what you doing (Do what you doing)	 So do what you doing (Do what you doing)
53	Move like you moving (Yeah) Never stop	 Move like you moving (Yeah) Never stop
0	Clouds passing above in the sky	하늘 위 구름이 지나간다
1	With a white light, look at the sky	 하얀 빛에 Look at the sky
2	Yes, to me, yes, to me	그래 내게 그래 내게
3	You’re light to me	 You’re light to me
4	Louder, woo ya, paint however you’d like	더 크게 Woo ya 니가 생각한 Paint
5	In my heart, blue, are you gonna change this game	 내 맘속 Blue, are you gonna change this game
6	He was in a lot of pain, I gain again at your help	 He was in a lot of pain 너의 도움에 또 Gain 해
7	Looking at the light of love, a purple color	 난 사랑에 그윽한 빛을 바라 번져 보라색
8	With beautiful colors	아름다운 색으로 물들게
9	I’ll find you in the black and white	 흑백 속에서 널 찾게
10	With your light, I live	너의 빛으로 I live
11	With your light	 나의 빛으로
12	You came down	[태/All] 니가 내려서
13	So I’m becoming a flower	[태/All] 난 꽃이 되고 있어
14	The light of the sky resembles you	[태/All] 너와 닮은 하늘의 빛은
15	It’s so warm and it colors me	[태/All] 따뜻해 날 물들게 해
16	You became a light	[동/All] 빛이 되어서
17	As you seep into me	[동/All] 스며들고 있어
18	The moment you came	[동/All] 니가 다가온 순간에
19	I am changing	[동/All] 난 변해 가고 있어
21	When you call my name	니가 나를 불러줄 때
23	Color me beautifully	아름답게 물들여줘
24	Firework, when you come to me and lightly touch me	Firework 내게 다가와 사뿐히 니가 닿을 때
25	I can only see you, let’s have our own party	 안 보여 너밖에 둘만 하자 Party
26	More vividly, whisper to me	 더 Vivid하게 속삭여줘 내게
27	If you want some more drop that curtain	 If you want some more drop that curtain
28	Looking at you	니 모습을 바라보다
29	I think of all the times we spent together	 생각이 나 너와 함께한 시간
40	I live because of you	너로 인해 살아가
41	With the light you gifted to me	 내게 선물해준 그 빛으로
42	Become more and more blue, more and more white	점점 파래져 점점 하얘져
43	Keep coloring	계속 물들어
45	You light me up oh yeah whoa	 You light me up oh yeah whoa
46	You came down	[태/All] 니가 내려서 (Whoa)
47	So I’m becoming a flower	[태/All] 난 꽃이 되고 있어 (Oh)
48	The light of the sky resembles you	[태/All] 너와 닮은 하늘의 빛은 (빛은)
50	You became a light	[동/All] 빛이 되어서 (되어서)
51	As you seep into me	[동/All] 스며들고 있어 (있어)
0	These days, I open my eyes every night	요즘은 매일 밤에 눈을 떠
1	I start my days during the evening, that’s me	 저녁에 하루를 시작해 난 Oh 그래 난
2	I’m comfortable now but	지금은 일상이 매일 편한데
3	Why can’t I see the morning?	 근데 왜 이렇게 난 아침을 보지 못 할까 Yeah yeah
4	Be well, words I told you	잘 있어 너에게 건넨 말
5	Are you well? I wanna ask you	 잘 지내 너에게 묻고파
6	I was too young back then	그때의 난 너무 어렸었지
7	I didn’t treat you right	 너에게 바친 흑장미
