	eng	kor
13	I can make dirt roads	흙탕물 범벅 길도
14	Into sparkling roads	삐까뻔쩍한 길로
15	I can make it a dramatic ending	드라마틱한 틱하면 틱하고 척하면 척하는
16	Like a director	결말을 만드는 감독
17	Life is a masterpiece so	인생 명작 So
18	Tie it up, make it stronger	꽉 꽉 끈질기게
19	Tie it tighter, double knot	더 꽉 묶어 Double knot
21	I’ll go anywhere, go go	어디로든 가 난 Go go
22	I’ll go wherever I want, go go	내 맘대로 골라 Go go
24	Wherever I wanna go	가고 싶은 대로
25	Everywhere	다 다다다 다다 다 다
26	Like unpredictable dice, like a coin with no sides	눈금 없는 Dice 앞뒤 없는 Coin
27	I don’t care which side of me shows	어떤 면이 보인대도 상관없어 나는
28	I’ll look at the directionless compass and keep going	방향 없는 나침반을 보며 Going
29	Even if I don’t get a lot out of this	많은 걸 얻지 못하더라도
30	It’s alright, even if I’m just one out of a hundred	괜찮아 백 중에 하나라도
31	If you get greedy and use all the colors on a blank piece of paper	백지에다 욕심부려 모든 색을
32	You’ll just get black	칠해봤자 검은색만 남아
40	I used to only look at one place	한 곳만을 바라보고 왔던
41	But now my perspective has broadened	내 시야는 넓어지고 많은 길로
42	My eyes are on many different paths now	눈을 돌려 여러 갈래길로
43	I see all the forks in the road, my eyes growing bigger	나눠진 이곳을 보며 커진 동공
45	Wherever my feet touch	발이 막 닿는 대로
46	Until my breath runs out	숨이 턱 끝까지 차올라
55	Whether I stop or not, ey ey	멈추든 말든 Ey ey
57	Whatever I do or not	뭘 하든 말든 모두
58	It’s all whatever I want	다 내 맘대로
61	Go! Go! Go! Go!	가! 가! 가! 가!
62	Go! Go! Double knot	가! 가! Double knot
0	When no one’s looking at me	아무도 날 바라봐 주지 않을 때
1	Time passes so slowly	이 시간 길게만 느껴져
2	When I have no place to put my heart	어디에도 내 마음 둘 곳 없을 때
3	You held your hands to me	그대가 내게 내밀었던
4	So I won’t ever let go	그 두 손을 따뜻하게
5	Of those warm hands	놓지 않을 수 있게
6	Even if it’s an endless path	끝이 보이지 않는 길이더라도
7	I won’t stop, over and over again	멈추지 말고 Over and over again
8	When these small lights that shine on me	지금 날 비추는
9	Gather around me	이 조그마한 빛들이 모이면
10	I will go closer to you	너에게 가까이 다가갈래
11	Then please hold me tight	그땐 나를 꼭 안아줘
12	In the coming days	다가올 그날에
13	In the moment we’ll face each other	우리가 마주할 그 순간에
14	And look at the same place	같은 곳을 바라보며
15	So we can both smile, I go	우리 웃을 수 있게 l Go
16	When I feel a bit tired	조금은 지쳤다고 생각이 들 때
17	When I want to just stop	이대로 멈추고 싶어져
18	When I want to just give up	아주 가끔은 주저앉고 싶을 때
19	You showed me	그대가 내게 보여줬던
20	That smile	그 미소를 영원하게
21	So I won’t ever lose it	잃지 않을 수 있게
22	Like the birds that fly high in the sky	높은 하늘을 날아가는 새처럼
31	So we can both smile, I go	우리 웃을 수 있게 I Go
32	I’ll fill my heart with you	너를 가득 담아서
33	And give it to you	이 마음 전해줄게
34	I’m running to you	달려가 너에게
35	The lights that shine on me have grown	지금 날 비추는
36	They’ve gathered around me	훌쩍 커버린 저 빛들을 모아
37	And I’ve gotten closer to you	너에게 가까이 다가왔어
38	Please hold me tight right now	지금 나를 꼭 안아줘
39	In the coming days	다가온 이 날에
40	In the moment we’ll face each other	우리가 마주한 이 순간에
0	Within the many stars scattered in the darkness	짙은 어둠 흩어져있던
1	Set the scene like a comet	많고 많은 별들 중에
2	The many stars that are	혜성처럼 판을 흔들어
3	Stronger than ever	언제보다 강하게
4	While born and gone	수많은 별들이 태어나고 사라지는 동안
5	Gets stronger in the time passed	통과했던 시간속에 강해져
6	A name that’s been said countlessly	수도 없이 외쳐왔던 이름
7	Our meaning, I’ll show you well today	우리의 의미 오늘도 제대로 보여줄게
8	Flames burst everywhere	온 사방에 불꽃이 터져
9	Spreading the world hot	확 뜨겁게 세상에 번져 더 커져
10	It gets bigger, this stage is completely	이 무대를 완전히
11	Flipped over and swallowed whole	뒤집어 통째로 삼켜 버린
12	Without exception to the fiery passion	붉은 열정을 빠짐없이
13	Carved all over my body, deep in the heart	온 몸에 새겨 심장 깊숙이
15	Scream bigger, loud	더 크게 외쳐 Loud
17	Throw everything in every moment	매 순간 속에 모든 걸 던져
18	On this rough road, I’ve defended myself	이 험한 길 위에 지금 껏 지켜낸
19	Those five letters are now	그 다섯 글자
20	Beyond being the first and becoming the best	이젠 최초를 넘어서 최고가 돼
21	Going higher, shout out to the world	더 높이 올라가 세상에 소리쳐
23	Lights, camera, action we go	Light, camera, action we go
24	Beyond the limits	그어 놓은 한계를 뛰어넘어
25	Once again Super Junior	또 한번 Super Junior
26	Keep the atmosphere like this	이대로 분위기 고조 시켜 Yeah
27	Break the mold, shattering it	틀을 깨고 부숴 버려
28	Spreading over to the end	세상에 끝까지 퍼져
29	Really rare	진짜는 흔치 않아
30	Now, shout out to us once more	자 한번 더 우릴 외쳐
31	Infinite energy, thrilling again	무한한 에너지 또 전율이 오르지
32	Shake everything	모든걸 다 흔들어놔
34	Burn it brighter	더 크게 타올라
46	How many wounds have I endured	얼마나 수많은 상처를 견디고
47	Fiercely fighting ourselves	치열히 자신과 싸우고
48	Never been easy	쉬운 적이 없었던
49	Over time I’ll wake up	[이/동] 시간을 거치고 일어나
50	The glory of tears, the weight of the crown	눈물의 영광을 왕관의 무게를
51	I ensure they don’t lose their light	빛을 잃지 않게 지켜 가
0	When you open your eyes, it’s 2:30 am in the morning	눈을 떠봐도 새벽 두 시 반
1	Your heavy body and heavier heart	무거운 몸과 더 무거운 맘
2	What are you thinking of	무슨 생각하나요
3	Are you tired, are you okay	힘든가요 괜찮나요
4	Why are you thinking “it’s only me that can’t…	왜 나만 안된다 생각하죠
5	Do you wish for tomorrow not to come	내일이 안 오길 바라나요
6	Lay down those thoughts that weigh down your mind, next to your pillow	꾹 머리를 짓누르는 생각들은
7	And do not worry	머리맡에 뉘어두고 걱정 마요
8	Just like this today	오늘은 이대로
9	Sleep well, sleep well, on this night	잘 자요 잘 자요 이 밤
10	I wish for you to have good dreams	좋은 꿈 꾸기를
12	At least that much in your dreams	꿈에서만이라도 꼭
13	I wish for you to be at peace	편안하길 바래요
14	I wish for you to be happy	행복하길 바래요
15	Like time has stopped	시간이 멈춘 듯이
17	The answer is that there is no answer	정답이 없는 게 답이라고
18	No one really knows this world	세상은 아무도 모른다고
19	Trust that everything will pass by like the wind	다 바람처럼 지나갈 거라 믿고
20	Push those thoughts scattering the ceiling	천장 위로 늘어놓은 생각들은
21	To tomorrow	내일로 미루고
26	I wish for you to have no worries	걱정 없길 바래요
27	I wish for you to be smiling	웃고 있길 바래요
33	Sleep well, sleep well	잘 자요 잘 자요
0	This cold and empty room	오랫동안 닫혀있던
1	That was closed for so long	차갑고 텅빈 이 방에
2	Your scent that gently carried over in the air	살며시 불어온 그대 향기에
3	Unknowingly, my heart fluttered because of it	나도 모르게 설레었죠
4	The long night that couldn’t see an end	끝이 보이지 않던 긴 밤은
5	It’s already becoming brighter with the thoughts of you	그대 생각에 벌써 밝아오네요
6	My heart that grew far away	멀어져갔던 나의 마음이
7	In no time, it returned again	어느새 다시 돌아왔네요
8	You don’t know, my fluttering heart	그댄 모르죠 떨리는 내 맘을
9	I’m always gazing at you by myself	나 혼자 그대를 계속 바라보고 있는데
10	I will wait for you, please turn around for me	기다릴게요 돌아봐 줘요
11	You don’t know my heart	그대는 모르죠 이런 내 마음을
16	You smile while looking at me	나를 보면서 그댄 웃네요
17	Without even knowing my nervous heart	애타는 내 마음도 모르면서
18	Instead, my self that is insistently drawn to you	괜히 짓궂게 그댈 대하는
19	Seems pitiful	나의 모습이 한심하게 보여
24	Please stay by my side	꿈만 같은 이 순간이 사라지지 않게
25	So that these dream-like moments will not disappear	내 곁에 있어 줘요
28	I will remember the moments we were together	기억할게요 함께한 시간들을
29	Even if these moments pass by, forever	이 순간이 지나도 영원히
0	You who is looking up at me	날 올려다보는 너
1	Words that are delivered through gazes	눈빛이 전한 단어들
2	The yearning that	나 온종일 애태웠던
3	Tormented me all day	참 기다란 그리움
4	The temperature that I’ve been wishing for	간절히 바라던 온도
5	Earnestly, the warmth that is relieving	안도케 하는 포근함
6	The small breaths I feel on wy shoulder	내 어깨에 느껴지는
7	Is just like that of a child’s	꼭 아이 같은 작은 숨결
8	Smiling shyly white looking at me	나를 보며 수줍게 웃곤
9	You who run into my arms	내 품속으로 달려드는 널
10	How can I not hug you who’s like that	도대체 난 그런 널 안지 않을 수 있어야지
11	Listening to you whisper	니 맘 가장 가까이에서
12	At where’s closest to my heart	속삭이는 너를 듣는 일
14	If love is something that	혹 사랑이라는 게
15	You can touch	만질 수 있는 거라면
16	Wouldn’t it be your embrace	저 하늘색 구름 같은
17	That’s like the sky-blue clouds?	너의 품이 아닐까
18	If love is something	어쩌면 사랑이란 게
19	Like an action	어떤 행동이라면
20	Wouldn’t it be hugging you tight	내 두 팔에 가득 감아
21	With my two arms?	꼭 안아 주는 일 아닐까
22	Smiling shyly white looking at me,	나를 보며 수줍게 웃곤
28	If I hug you, all the moments in the world,	널 안고 있으면 세상 모든 순간들이
29	Exists just for me and for me only	꼭 나를 위해 또 나만 위해
30	Do you feel the same way in my arms too?	존재하는 것만 같은데
31	To the point where you can hear my heart,	내 품이 너에게도 그리 느껴질까
32	I’ll make sure to hug you even tighter	내 마음이 너에게 다 들릴 만큼 더 꼭 안아 줄게
33	In the season that I met you	너를 만난 나란 계절에
34	You who gives me pretty flowers only	예쁜 꽃만 틔워주는 너
36	It’s so precious and affectionate	너무 소중하고 애틋해
37	I want to save a lot of it	많이 아껴두고 싶은데
38	How can I not hug, you who’s like that	도대체 난 그런 널 안지 않을 수 있어야지
39	Is it possible to not hug you who’s like that?	널 안지 않을 수 있어야지
0	Once you go away	또 사라져버리면 다음엔
1	I don’t know when I’ll see you again	언제 다시 만날지 모르니까
2	So let me hold you closer, let me cry a little	더 세게 안을 게 그리고 좀 울게
3	Please act like you didn’t see, it’s just this one time	모른 척해줘 이번 한 번뿐이야
4	Your existence pulls me so hard	감당할 수 없을 만큼
5	I can’t handle it	너라는 존재가 날 끌어당기지 uh
6	You and I are like a revolving orbit, why	너와 내 사이는 마치 공전하는 궤도처럼 why
8	It’s so hard, this system through you	너무 어려워 너로 인한 이 system
9	I go crazy, Monday to Sunday	난 미쳐 Monday to Sunday
10	You’re so dangerous, I’m breaking down more and more	넌 넌 너무 위험한데 점점 난 부서지는데
11	But why do I like you? Why?	왜 네가 좋아 왜 네가
12	The more I hold you	널 내 품에 안으면 안을수록
13	The deeper this gets	더 더 깊어지는 건
15	Between sadness and joy, anger and hatred	슬픔 기쁨 분노와 증오 사이
16	I can’t define the boundaries of these emotions	정의할 수 없는 어떤 경계의 감정
17	You’re the one who taught me all of this	이 모든 걸 알게 해준 건 다 너잖아
18	You’re the center of my world	나란 세계의 중심이 된 너야
21	I don’t know why but because you’re my everything	모르겠어 네가 내 전부가 됨으로써
22	I’m acting like fool	Acting like fool
23	I know this but as if I’m sick	알면서도 너 덕에 병에 걸린 것처럼
24	I keep wanting you like a fool	바보같이 바라고 있지 난
30	What is this trembling symptom?	떨리는 이 증상은 뭐죠
31	I’m breaking more and more	점점 나 망가져 가나요
32	If this is love, it’s alright, it’s alright	이런 게 사랑인 거라면 괜찮아 괜찮아
33	It’s weird, this doesn’t feel strange, even the scars I got from you	이상해 낯설지가 않아 너로 얻은 이 상처까지
34	I guess I have to hurt a little more	난 좀 더 아파야 하나 봐
35	I have seven days, you decide the names of the days	내 일곱 개의 날 네가 만든 요일들
36	I breathe through you, go live	난 너로 숨을 쉬어 go live
38	I breathe through you	난 너로 숨을 쉬어
39	Why why, do I like you, when I’m getting sadder and sadder	Why why 네가 좋은 걸까 점점 난 슬퍼지는데
40	Why do I want you? Why you?	왜 너를 원해 왜 너야
44	You’re so dangerous	넌 너무 위험한데
45	I’m breaking down more and more	점점 난 부서지는데
2	My face that’s reflected in your eyes	너의 눈동자에 비친 내 얼굴이
3	Overlaps with	저 하늘에 떠 있는 노을의
4	The color of the sunset	색으로 겹쳐지며 떠올라
5	My eyes that are on your lips	너의 입술을 향해 나의 눈이
6	Grow red like your lipstick	Red Lipstick의 채도같이
7	Make me high	빨갛게 달아올라 Make Me High
8	I’ve fallen into something	푹 빠져버려 Something
9	Nothing can compare with this	그 어떠한 것도 비교 불가 뭐든 Nothing
10	Each moment is being filled	지금 나의 순간순간 가득해져
11	You flicker before my eyes	네가 내 눈앞에 아른거리는
12	The pieces of ash in the fire swallow me up	불씨 속에 검은 잿빛들이 나를 삼켜
13	Making me fall into the fantasy	환상 속에 빠져버려 먹혀
14	I’ve become a criminal to this love	또다시 난 침체된 사랑에 죄가 되어
15	No other love exists, blind me	다른 사랑은 존재하지 않아 Blind Me
16	(A grown-up’s love)	[웅/우진] 어른들의 사랑
17	I think I know	뭔지 알 듯해
18	It’s hot in the darkness and cold in the sunlight	어둠에 뜨거워지며 햇살에 차가워지는
19	That’s my situation right now	지금 내 상황이 그래
20	I’ve grown blind with love	사랑에 눈이 멀었네
21	I can give up my all for you	모든 걸 다 바쳐
22	And it won’t be a waste, yeah	너에게 다 줘도 아깝지가 않네 Yeah
24	Like a person blinded by love	사랑에 눈먼 사람처럼
26	Like a child with candy	사탕을 맛본 아이처럼
28	These feelings I’ve never felt before	처음 느꼈던 감정이
29	Captivate me and pull me to you	날 사로잡아 날 더 끌어당겨
30	I’m a child who’s grown blind with love	난 사랑에 눈이 먼 아이야
31	I wanna swim in your eyes	[동현/우진] 너의 눈 속에서 헤엄치고파
32	If I can’t see ahead	[웅/우진] 앞이 보이지 않는
33	Hold my hand and take me there	[웅/우진] 나의 손을 잡고 데려가
34	Far away, to your deep place	저 멀리로 너의 깊은 곳
35	To a dark place, so I can light it up	불이 없는 곳 내가 밝혀
36	I’ll be your light	너의 빛이 되어주오
37	Na Na Na Na Na Na	[대휘/우진] Na Na Na Na Na Na
39	My body reacts before my words	말보다는 몸이 앞서가잖아
40	I Want You You You	[동현/우진] I Want You You You
41	I Want You Oh	[동현/우진] I Want You Oh
42	If it’s for you, I’ll Do Anything Babe	널 위해 서면 I’ll Do Anything Babe
43	I’ll Be Your I’ll Be Your Valentine	[동현/우진] I’ll Be Your I’ll Be Your Valentine
44	Even when I look at you again	[영민/웅] 다시 바라봐도
45	Blind with love	사랑에 눈이 멀어
46	I can’t hold onto you	널 잡지 못하고 방황해
47	So I’m wandering every day in my dreams	매일을 꿈에서 헤매
48	I’ve gone to faraway places to look for you	널 찾아 먼 곳까지 다녀왔어
49	It was a given, cuz I couldn’t forget you	당연했어 잊지 못해서
50	Let me tell you the reason for my love	말해줄게 내 사랑의 이유
51	I can look around	두리번 두리번대도
52	But there’s no one like you	너 같은 사람은 없기에
53	What I wanna hear is OK	내가 듣고 싶은 답은 Ok
70	The world seemed different	조금은 다르게 보이는 세상이
71	But now I’m used to it, even in the darkness	이젠 익숙해 어둠 속에서도
72	I can run to you without holding back	거침없이 너에게로 뛰어갈 수 있어
73	Even in the dark, you shine so bright	어둠 속에서도 너는 밝게 빛이 나고 있어
74	I won’t look anywhere else	한눈팔지 않아 기꺼이 난 네게
75	Because I’m blind with you	눈이 멀어버려
76	(Like I’m A Blind)	[웅/우진] Like I’m A Blind
85	I wanna swim in your eyes	너의 눈 속에서 헤엄치고파
86	If I can’t see ahead	앞이 보이지 않는
87	Hold my hand and take me there	나의 손을 잡고 데려가
3	I’ll draw it, the drawing starts now, 1, 2 step	그려 볼게 지금부터 그림이 시작 돼 1, 2 step
6	Yell, one two, the reason we’re soaring up	외쳐 하나 둘 날아오르는 이유
7	Don’t hesitate and move	망설이지 말고 Move
8	We’re lucky, so ready, are you ready	We’re lucky, so ready 준비 됐니
9	I follow the dream I’ve wished for every day, so fresh (so fresh)	매일매일 바라온 꿈을 난 따라가 So fresh (So fresh)
10	The same thing would probably be boring (so sick)	똑같은 건 아마 지루할 테니까 (So sick)
11	What I want (I choose them)	원하는 건 (I choose them)
12	I choose it, among all these colors (ya ya)	내가 골라 이 색깔들 속 (Ya ya)
13	Should I try finding my own	내 색을 찾아볼까
14	In the place where the clear light of the sky is kept	하늘의 선명한 빛을 간직한
15	Is the world I’ve been looking for	그곳에 그리던 세상이 있어
16	Let me show you (I’ll show you everything)	Let me show you (보여줄게 모두 다)
17	Do it with you (walk your own path)	Do it with you (나의 길을 걸어 가)
18	My one and only groove (should we fly now)	나만의 Groove (자 이제 날아 볼까)
20	We beck, we Purplebeck	[여/All] We beck, we Purplebeck
21	Shake the world	세상을 흔들어
22	I can’t stop	멈출 수 없어
23	We only do our best yeah	[여/All] We only do our best yeah
24	We rock it rock it out	[민/All] We rock it rock it out
25	Light up this night	이 밤을 밝혀 줘
27	We only do our best yeah	[민/All] We only do our best yeah
32	Beautiful dreams, bloom like flowers (like star ah ah)	꽃 피어라 예쁜 꿈들아 (Like star ah ah)
35	Even if I run out of breath, it’s delicious (umm)	숨이 차 와도 Delicious (Umm)
36	No matter how much I run, I don’t get tired	아무리 달려도 안 지쳐
37	It’s way hotter than during the day	낮보다 훨씬 더 뜨거워
38	Even if I close my eyes, it’s blindingly bright	눈을 감아도 눈이 부셔
39	Get ready, go go go go	준비해 Go go go go
40	Things that have cooled down, no thanks, I don’t need them	식은 건 No thanks 불필요해
41	It doesn’t matter how long it takes	언제가 될 진 상관이 없지
45	Let me show you (I’ll show you everything)	Let me show you (보여줄게 모두다)
57	When those stars cut across the night	저 별이 밤을 가로지를 때
58	I want to send the dream I’ve been wishing for to them	바래 온 꿈을 태워 보낼래
59	When the light that suddenly approached me embraces me	어느새 다가온 빛이 나를 감싸면
46	I see it	I see it 
47	Great night air	새겨멋진밤의공기
48	my inner trembling breath	내적떨림숨결하나까지
49	The love thing that has grown bigger	아찔 커진 love thing
50	Hide all day whoa love you baby	숨겨 all day whoa love you baby
51	fire	불빛
52	light me, lit me	번져 lit me
54	treat it like a jewel	다뤄보석같이
56	sometimes rough	때론거친
57	you’re everything yeah	You’re everything yeah
58	take out all story	꺼내 모든 story
0	On the street we used to walk on together	둘이 거닐던 거리에
1	As the sunset fades away	노을 짙어져가면
2	I want to put this moment in my two eyes	잠시 내 두 눈에 담아서
3	And remember you	그댈 기억해요
4	On that street that was snowed upon	눈이 내리던 거리에
5	After I sent you off	그대 떠나보내고
6	Only small traces remain	작은 흔적들만 남아서
7	And make me cry	나를 울게 해요
8	The dewdrop laden in your two lovely eyes	고운 두 눈에 맺힌 이슬방울을
9	I will place it in the cloud fragment I picked yesterday	어제 따온 구름 조각에 담아서
10	If it becomes time for your heart to dry up	그대 마음이 혹시 말라갈 때면
11	I will squeeze it and water it again	꼭 짜서 다시 적셔 줄게요
12	The season when snow piles up	눈이 쌓이는 계절이
13	If it returns again,	다시 돌아온다면
14	That day that was so weary	많이 힘겨웠던 그날이
15	It makes me cry	나를 울게 해요
16	Where could you be	그댄 어디 있나요
18	I want to closely embrace your tired heart	그대의 지친 맘을 꼭 안아주려 해요
24	I will water it again for you	꼭 내가 다시 적셔 줄게요
0	The sound of your voice calling to me	열어둔 문틈 사이로 들려온
1	I can hear it through the seam of the open door	날 부르던 목소리
2	Your warm, outstretched arms that send my heart fluttering	설레이는 따스한 손길
3	On this night, even the hanging stars	늘어지던 별들도
4	Are asleep without a sound	소리 없이 잠든 밤
5	Shall we bring out out our memories	우리의 추억을 꺼내어 볼래요
6	Close your eyes	눈 감아
7	The light of the brilliant moon	찬란한 달의 조명
8	Dances its last dance	마지막 춤을 춰
9	Like riding atop a swing	그네를 타듯
10	Even as it drifts away from you	너에게 멀어져도
11	Even that warm scent	포근했던 향기도
12	Becomes faint on this night	희미해져가는 밤
13	Shall we lean on those memories we long for	그리울 추억에 기대어 볼래요
19	To you, beneath the moonlight showering down	쏟아져 내리는 달빛 아래 그대에게
20	Become the star of this night	이 밤의 별이 되어 비춰 줄
21	And promise to shine for me	약속을 담아
25	Even as it drifts away from you	너에게 닿았으면
3	To be honest	사실은 말이야
4	I’ve liked you	오래전부터
5	Since a long time ago	널 좋아한다고
6	I wanted to tell you	말하고 싶었어
8	I was determined	다짐을 했어
9	To tell you how I feel	이 맘을 네게 전할 거야
10	I want you	Oh 널 원하고 있어
11	I want to have you	널 갖고 싶어
12	just away you	Just away you
13	I’m calling out to you	Oh 널 부르고 있어
14	I want you	널 갖고 싶어
15	Please hold me	날 안아줘
31	Yeah oh girl, just looking at you isn’t enough	Yeah oh girl 바라만 봐도 모자라
32	So I’m holding your hand quickly	아이고 그새 또 손잡아
33	You’ve gotten even cuter today	더 더 귀여워졌잖아 오늘따라
34	Sharing these fluttering feelings with you	일상이 되어버린
35	Became a part of my everyday life	그대와 나누는 내
36	It’s out of control	설렘이 정도가 지나쳐
37	So I got a got a getcha	그래서 I got a got a getcha
59	At this place	이 자리에
60	Right here	여기 위에
61	I won’t ever leave you	언제나 널 떠나지 않아
62	I want to place you by my side	Yo 널 내 옆에다 두고 싶은 맘
63	Is that being selfish?	이기적인 내 욕심인 걸까
64	If it’s alright with you, I will love you forever	너만 좋다면 평생 사랑해줄게
0	It’s sad that tonight is fading	아쉬워 이 밤이 가는 게
1	I want to hold on and not let go	가지 마라 붙잡고 싶어요
2	My warm heart like this tea cup	이 찻잔처럼 뜨거워진 마음이
3	I’m shy and it’s a little tacky	쑥스러운 난 좀 촌스럽죠
4	Don’t don’t hide yourself	안돼요 감추지 말아요
5	It’s sad if I’m in a hurry alone	나만 혼자 서두르면 슬퍼요
6	My burning heart like that flame	저 불씨처럼 불타오는 마음도
7	I want to give it to you, I want to stay	드리고파 머물고파
8	Don’t hurt me	아프게 하지 마요
9	What shall we do about tonight?	이 밤을 우리 어떻게 할까요
10	Shall we cross the sparkling galaxy together?	반짝이는 은하수를 건널까요
11	In the night where the lazy streetlights are drowsy	게으른 저 가로등도 졸고 있는 밤에
12	In the night, tonight	이 밤에 말이죠
13	So soon before we know	어느새 우리도 모르게
14	The stars are moving step by step	별은 한 걸음씩 자릴 옮기고
15	With the scent of this night carried upon the wind from somewhere	어디선가 실려온 밤의 향기에
16	I want to be mesmerized, I want to lean on it	취하고파 기대고파
17	But why are you just smiling?	왜 웃고만 있나요
21	In the night, tonight	이 밤에
22	Come into my arms, I’ll hold you tight	안겨 안아 줄게요
23	Please don’t hide it my dear	그대여 감추지 말아요
24	Come to me just the way you are	그 모습대로 와 줘요
0	Let’s go	가자
1	The moon looks nice today	오늘 달이 좋구나
3	Turn up the music, blow the pipes	풍악을 울려 피리를 불어
4	The moon is so nice tonight, the starlight is drawing near	저 달도 좋은 밤 별빛이 다가와
5	Shining all around us	우리 주위를 가득 비춰
6	Nothing has been decided	정해진 건 없어
7	Let’s just walk however our feet takes us	발길이 닿는 대로 마냥 걸어가
8	The moon looks nice today	달이 좋구나
9	I’m like Jeon Woo Chi, Woo Chi	전우치 우치 나는 우
10	Practicing my magical arts	도술을 부리지 마구
11	Flying like a butterfly, stinging like a bee	나비처럼 날아 벌처럼 쏴
12	Wiping out all the villains	악당을 쓸어 담고
13	There is no one who doesn’t know me on the streets	저잣거리에 나를 모르는 사람이 없으니
14	So it feels good	기분이 좋구나
15	From the East to the West	동에 번쩍 서에 번쩍
16	It’s a festival thrown for us	우릴 위한 축제가 벌어지는구나
17	Nihiliya oheya	늴리리야 옹헤야 (얼쑤 얼쑤)
19	Throw your hands up high	손 높이 흔들어
20	Get louder	더 크게 소리 질러
21	I’ll do my work tomorrow	내일의 내일은 내가 하니까
23	Play the big drums, throw a punch	큰 북을 울려 한 방을 날려
24	Move out of the way	길을 비켜라
25	I hear the sound of the trumpets	저기 나팔소리가 들린다 우
26	Partying with you all night	님과 함께 밤새도록 놀아
27	This is a trap, trap	이거는 트랩 부비 트랩
28	I hear the sound of the trumpets	나팔소리가 들린다 우
29	Let’s go, let’s go	가자 우 가자 우
30	Clap your hands	지화자
32	Let’s go	가자 우
33	The moon looks nice tonight	오늘 달이 좋구나
35	Verse 2 here we go	2절 오너라
36	Rumble tumble, beat the drum, raise the merriment	덩기덕 저 북을 쳐서 더욱 흥을 올려라
37	Hey-oh, row your oars to the beat	어기어차 북소리 맞춰 노를 저어라
38	Follow the wind, follow the clouds, follow the moonlight	바람 따라 구름 따라 달빛을 따라
39	Let’s just go with the flow	그저 흘러가보자
41	Hold on, wait a moment	가던 길 잠시 멈추고 wait (예끼)
42	At the count of three, I’ll let you go	둘셋하면 풀어줄게 땡 (떽)
43	Floating lightly, dumchit dumchit playing the drums	둥실둥실 난 둠칫 둠칫 두둠칫
44	Dance however your body moves	몸이 가는 대로 춤을 춰
45	Follow me, I’m the pied piper	나를 따라 난 피리 부는 아이
46	I’m shining under the moonlight	달빛 조명 아래 나는 빛이나
47	There is one earth, come into a circle	지구는 하나야 원으로 모여라
48	Let’s all shout out, the earth is one	다같이 외쳐보자 지구는 하나다
52	Get louder	더 크게 소리질러
67	Hey-oh	어기어차 우 (얼쑤 얼쑤)
68	Hey-oh	어기어차 우
70	Hey-oh	어기어차 우 (얼쑤)
71	Under the growing light, the moonlight	더 커져나가는 불씨 달빛 아래로
72	Like a circle dance, put your hands on your shoulder	강강수월래 하듯이 다 손 어깨 위로
73	Voices growing louder, gather here	[건희/이도] 더 커져가는 목소리 모여 여기로
74	Let’s see the end tonight	[건희/이도] 오늘밤 끝장 보자
0	I purposefully take a few steps back	일부러 몇 발자국 물러나
1	I look at you walking without me	내가 없이 혼자 걷는 널 바라본다
2	There is a void beside you	옆자리 허전한 너의 풍경
3	Upon the gray road you look back	흑백 거리 가운데 넌 뒤돌아본다
4	I knew just then	그때 알게 되었어
5	That I can’t leave you	난 널 떠날 수 없단 걸
6	No matter how many problems we face	우리 사이에 그 어떤 힘든 일도
7	It’s easier to withstand, than breaking up	이별보단 버틸 수 있는 것들이었죠
8	How can I even love the heartbreak	어떻게 이별까지 사랑하겠어
9	when you’re the one I love	널 사랑하는 거지
10	I can’t give up on us solely because of love	사랑이라는 이유로 서로를 포기하고
11	and experience heart wrenching pain	찢어질 것같이 아파할 수 없어 난
12	Should I turn back a couple of times	두세 번 더 길을 돌아갈까
13	We walk along together upon the desolate road	적막 짙은 도로 위에 걸음을 포갠다
14	Conversation lacking substance	아무 말 없는 대화 나누며
15	We look out into the distance where the light shines	주마등이 길을 비춘 먼 곳을 본다
16	I realized just then	그때 알게 되었어
17	I can longer move forth	난 더 갈 수 없단 걸
18	Every step brings me closer to our breakup	한 발 한 발 이별에 가까워질수록
19	Your hand I used to hold seems to vanish	너와 맞잡은 손이 사라지는 것 같죠
22	I can’t give up on us solely because to love	사랑이라는 이유로 서로를 포기하고
24	How could I, to you	어떻게 내가 어떻게 너를
25	Our love so deep as the ocean	이후에 우리 바다처럼 깊은 사랑이
26	Waiting till it runs dry will be our farewell	다 마를 때까지 기다리는 게 이별일 텐데
0	How was your day today?	오늘 하루 어때
1	I wanna see you right now	지금 보고 싶어
2	Call me before you fall asleep	잠들기 전 전화해
3	Whisper to me	속삭여 줘
4	Even the little things	사소한 얘기도
5	Cuz I like it all	그냥 다 좋으니까
8	I’ll call you, wait for me	통화할께 기다려
9	Even when I go through bad things	나쁜 일에 시달려도
10	When we talk, it all disappears	우린 통화하면 사라져
12	We connect so well	우린 너무 잘 통하지
13	There’s so much I wanna do with you	하고 싶은 것이 많아도
14	It’s so easy to find things I like to do	맞는 일을 찾는 것은 너무 너무 쉽지
15	But time passes so slowly when you’re working all day	하루 종일 일을 할 때 시간은 너무 길지
16	I have so much to tell you, this is what happened	너랑 할 얘기가 많아 무슨 일이 있었고
17	Did something happen to you?	무슨 일이 있었어 넌 무슨 일이 있었어
18	There’s a movie I wanna watch with you	너랑 보고 싶은 영화가 생겼어
